date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:56:30	677/677	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sat,%2021%20Sep%202024%2008:26:29%20GMT	https://html.designingmedia.com/robots.txt		(from )
14:56:30	42406/42406	---M--	200	added ('OK')	text/html	date:Thu,%2009%20Mar%202023%2016:56:36%20GMT	https://html.designingmedia.com/artelligence/?storefront=envato-elements	F:/Level%205/New%20folder/Net.Ai/html.designingmedia.com/artelligence/index04b9.html	(from )
14:56:31	4735/4735	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Feb%202023%2013:57:52%20GMT	https://html.designingmedia.com/artelligence/assets/images/favicon/apple-icon-57x57.png	F:/Level%205/New%20folder/Net.Ai/html.designingmedia.com/artelligence/assets/images/favicon/apple-icon-57x57.png	(from https://html.designingmedia.com/artelligence/?storefront=envato-elements)
14:56:31	5126/5126	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Feb%202023%2013:57:52%20GMT	https://html.designingmedia.com/artelligence/assets/images/favicon/apple-icon-60x60.png	F:/Level%205/New%20folder/Net.Ai/html.designingmedia.com/artelligence/assets/images/favicon/apple-icon-60x60.png	(from https://html.designingmedia.com/artelligence/?storefront=envato-elements)
14:56:32	6659/6659	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Feb%202023%2013:57:52%20GMT	https://html.designingmedia.com/artelligence/assets/images/favicon/apple-icon-72x72.png	F:/Level%205/New%20folder/Net.Ai/html.designingmedia.com/artelligence/assets/images/favicon/apple-icon-72x72.png	(from https://html.designingmedia.com/artelligence/?storefront=envato-elements)
14:56:32	7058/7058	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Feb%202023%2013:57:52%20GMT	https://html.designingmedia.com/artelligence/assets/images/favicon/apple-icon-76x76.png	F:/Level%205/New%20folder/Net.Ai/html.designingmedia.com/artelligence/assets/images/favicon/apple-icon-76x76.png	(from https://html.designingmedia.com/artelligence/?storefront=envato-elements)
14:56:33	12002/12002	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Feb%202023%2013:57:52%20GMT	https://html.designingmedia.com/artelligence/assets/images/favicon/apple-icon-114x114.png	F:/Level%205/New%20folder/Net.Ai/html.designingmedia.com/artelligence/assets/images/favicon/apple-icon-114x114.png	(from https://html.designingmedia.com/artelligence/?storefront=envato-elements)
14:56:34	13078/13078	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Feb%202023%2013:57:52%20GMT	https://html.designingmedia.com/artelligence/assets/images/favicon/apple-icon-120x120.png	F:/Level%205/New%20folder/Net.Ai/html.designingmedia.com/artelligence/assets/images/favicon/apple-icon-120x120.png	(from https://html.designingmedia.com/artelligence/?storefront=envato-elements)
14:56:34	17074/17074	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Feb%202023%2013:57:52%20GMT	https://html.designingmedia.com/artelligence/assets/images/favicon/apple-icon-144x144.png	F:/Level%205/New%20folder/Net.Ai/html.designingmedia.com/artelligence/assets/images/favicon/apple-icon-144x144.png	(from https://html.designingmedia.com/artelligence/?storefront=envato-elements)
14:56:35	17809/17809	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Feb%202023%2013:57:52%20GMT	https://html.designingmedia.com/artelligence/assets/images/favicon/apple-icon-152x152.png	F:/Level%205/New%20folder/Net.Ai/html.designingmedia.com/artelligence/assets/images/favicon/apple-icon-152x152.png	(from https://html.designingmedia.com/artelligence/?storefront=envato-elements)
